   Pwr.(w),TFR (mg/min),O2-Lo (cc/m),Temp(C),Pres.(torr),Space(mils),Total He Carrier (sccm),k value
1040.0,4800.0,88.0,300.0,10.2,380.0,925.0,3.2214323664922904
680.0,5300.0,33.0,340.0,10.2,380.0,1200.0,2.7788364880719656
580.0,2900.0,53.0,380.0,8.2,380.0,700.0,2.8492701109391234
660.0,1200.0,153.0,380.0,9.2,380.0,600.0,3.8724200843635384
700.0,3400.0,158.0,380.0,7.7,380.0,1050.0,3.718017783971515
1030.0,5100.0,298.0,360.0,8.7,380.0,1200.0,3.0907170494594878
970.0,5400.0,378.0,380.0,6.7,380.0,875.0,2.9442167826789563
740.0,5400.0,23.0,380.0,9.7,380.0,975.0,3.2451994119827647
1020.0,4700.0,338.0,300.0,7.7,380.0,975.0,3.722452222342953
570.0,1200.0,183.0,380.0,4.7,380.0,1225.0,4.101288708725832
610.0,4500.0,143.0,380.0,6.2,380.0,550.0,3.150781148018682
960.0,1000.0,408.0,320.0,4.7,380.0,1150.0,3.631242927427642
800.0,800.0,23.0,320.0,10.2,380.0,1425.0,3.7088099531131435
790.0,5100.0,103.0,340.0,7.7,380.0,1175.0,3.37054580740872
510.0,1900.0,23.0,340.0,8.2,380.0,1275.0,3.0097994207334064
950.0,4500.0,343.0,340.0,9.7,380.0,900.0,3.064612098285276
740.0,4400.0,333.0,380.0,6.2,380.0,600.0,3.581468295422287
480.0,3900.0,158.0,360.0,7.7,380.0,1475.0,3.14126022339634
730.0,3100.0,163.0,320.0,9.2,380.0,1350.0,3.5156631952556303
630.0,600.0,28.0,280.0,9.2,380.0,1400.0,3.7504458918325967
920.0,4300.0,58.0,320.0,9.7,380.0,1350.0,3.7188157602476233
410.0,1000.0,118.0,300.0,6.7,380.0,600.0,3.1131739638884586
930.0,1100.0,138.0,300.0,9.2,380.0,700.0,3.520325162680079
750.0,5100.0,98.0,380.0,7.7,380.0,1450.0,3.0536816848346526
980.0,5100.0,133.0,320.0,7.7,380.0,1200.0,3.1852466669022395
920.0,4000.0,38.0,320.0,10.2,380.0,1475.0,3.444870408589942
920.0,5000.0,193.0,380.0,6.7,380.0,600.0,2.994269670376542
380.0,4800.0,143.0,380.0,5.7,380.0,1225.0,3.5102853808158434
720.0,3300.0,98.0,380.0,6.7,380.0,1275.0,3.646153929282856
1020.0,4000.0,13.0,360.0,9.2,380.0,1475.0,3.4559147973649837
480.0,4300.0,13.0,360.0,10.2,380.0,1050.0,3.358843012748502
660.0,1200.0,113.0,320.0,8.7,380.0,1425.0,2.9074975025480754
940.0,5000.0,28.0,320.0,9.2,380.0,1300.0,3.4400884826175715
230.0,3200.0,33.0,380.0,8.2,380.0,825.0,3.485431018562787
440.0,4300.0,48.0,380.0,7.2,380.0,1150.0,3.264852064077996
960.0,4600.0,308.0,340.0,9.2,380.0,1050.0,3.673078953787549
930.0,5400.0,313.0,320.0,10.2,380.0,1025.0,2.9060762618922698
830.0,1400.0,93.0,320.0,9.7,380.0,775.0,3.2526842065365758
800.0,1100.0,93.0,320.0,10.2,380.0,1450.0,3.387829158606793
910.0,1400.0,158.0,320.0,9.7,380.0,950.0,2.839195579079605
420.0,1100.0,113.0,320.0,8.2,380.0,1375.0,3.2785383281414924
830.0,4600.0,28.0,340.0,8.2,380.0,1475.0,3.485393873779894
730.0,5100.0,103.0,380.0,5.2,380.0,1250.0,3.8449184053469705
640.0,1000.0,148.0,220.0,10.2,380.0,1000.0,3.188353491234426
720.0,3000.0,83.0,380.0,5.2,380.0,675.0,3.787547489759065
430.0,1700.0,43.0,380.0,5.7,380.0,550.0,3.146810285214494
450.0,1900.0,78.0,380.0,8.7,380.0,825.0,3.557053568272904
790.0,4700.0,193.0,380.0,4.7,380.0,600.0,3.6838852963283064
920.0,3100.0,33.0,320.0,10.2,380.0,1375.0,3.5914946289238916
420.0,1100.0,118.0,280.0,10.2,380.0,1025.0,2.9527181766345665
690.0,5400.0,53.0,360.0,10.2,380.0,1050.0,3.183744850470842
650.0,3800.0,48.0,380.0,5.2,380.0,1050.0,3.5188607755222012
810.0,3200.0,48.0,340.0,8.7,380.0,1200.0,3.276775030718201
1000.0,4600.0,68.0,340.0,8.7,380.0,1275.0,2.8311641089703747
600.0,3200.0,63.0,360.0,8.2,380.0,1075.0,2.935482334160911
770.0,1100.0,223.0,380.0,4.7,380.0,1250.0,3.8400826580992784
710.0,5100.0,198.0,380.0,7.7,380.0,1150.0,3.5808412394058937
740.0,3600.0,38.0,360.0,9.2,380.0,1125.0,3.0940484789028004
990.0,1000.0,38.0,300.0,5.7,380.0,1250.0,3.8434259379612477
300.0,4000.0,33.0,380.0,7.7,380.0,625.0,2.9335473193906934
290.0,4200.0,43.0,380.0,7.7,380.0,900.0,3.4172212159614106
740.0,3600.0,23.0,380.0,9.2,380.0,1175.0,3.599187778320624
420.0,4900.0,248.0,380.0,5.7,380.0,750.0,3.1875945490835305
990.0,4400.0,378.0,380.0,5.2,380.0,725.0,2.9697562492789946
270.0,1500.0,113.0,320.0,6.7,380.0,700.0,2.905775080179063
890.0,1200.0,118.0,280.0,8.7,380.0,1000.0,2.931690073707456
910.0,5400.0,88.0,320.0,10.2,380.0,550.0,3.4324784801367603
740.0,4500.0,118.0,380.0,5.7,380.0,600.0,2.9725667101207414
610.0,3900.0,88.0,340.0,8.2,380.0,1250.0,2.733304483436955
840.0,5300.0,48.0,360.0,8.2,380.0,1400.0,3.3695136359564213
460.0,3700.0,113.0,360.0,8.2,380.0,1200.0,3.560268504138888
800.0,4500.0,68.0,340.0,7.7,380.0,1000.0,2.8626267970980868
1030.0,4500.0,368.0,340.0,4.7,380.0,1200.0,2.8809434263570006
690.0,5400.0,88.0,380.0,7.7,380.0,875.0,3.8177591952512104
810.0,3300.0,23.0,320.0,10.2,380.0,525.0,2.728785874676721
630.0,1100.0,128.0,300.0,9.2,380.0,1225.0,2.966712066466597
920.0,2200.0,153.0,320.0,10.2,380.0,725.0,3.05912603373445
1020.0,5000.0,283.0,340.0,8.7,380.0,775.0,3.4294324401285894
380.0,3300.0,73.0,380.0,5.2,380.0,625.0,3.6713700510050153
780.0,1600.0,88.0,320.0,6.7,380.0,675.0,2.8773538706453166
890.0,5100.0,258.0,340.0,7.7,380.0,1050.0,2.948428814365425
440.0,4200.0,98.0,380.0,4.7,380.0,750.0,3.312983486394205
560.0,900.0,138.0,320.0,8.7,380.0,1125.0,3.725010989774937
550.0,2200.0,28.0,380.0,7.7,380.0,1200.0,3.5959099911522063
620.0,1300.0,183.0,320.0,9.2,380.0,825.0,3.6423496377912215
730.0,2900.0,253.0,320.0,8.7,380.0,1000.0,2.85102127455172
720.0,1000.0,123.0,320.0,8.7,380.0,725.0,3.7419167713830768
930.0,4800.0,128.0,320.0,10.2,380.0,475.0,3.201866376223167
980.0,5000.0,308.0,340.0,9.7,380.0,1175.0,3.577044413426546
480.0,3900.0,38.0,340.0,8.2,380.0,1275.0,2.9177760343995027
630.0,3400.0,28.0,280.0,9.2,380.0,1475.0,2.7745832067708145
810.0,3300.0,208.0,340.0,7.7,380.0,1175.0,3.350193984292474
680.0,4400.0,28.0,360.0,9.7,380.0,1150.0,3.170111477748617
1020.0,5200.0,78.0,360.0,8.7,380.0,1150.0,2.9473313646350707
740.0,4600.0,163.0,380.0,5.7,380.0,1325.0,3.1554318737040195
510.0,4500.0,63.0,380.0,6.7,380.0,1275.0,3.5968175548159786
940.0,5100.0,78.0,340.0,8.2,380.0,1425.0,3.208252574654423
800.0,3900.0,223.0,340.0,8.2,380.0,1225.0,2.799988775364043
900.0,3700.0,253.0,320.0,9.2,380.0,1050.0,3.026776617099343
890.0,3900.0,43.0,340.0,9.2,380.0,1050.0,3.314992810011422
960.0,5300.0,398.0,340.0,7.7,380.0,650.0,3.1097241471134467
400.0,4300.0,13.0,380.0,9.2,380.0,975.0,3.2706022118057447
790.0,3300.0,398.0,380.0,5.2,380.0,525.0,3.449686088458291
940.0,4900.0,93.0,380.0,5.7,380.0,1150.0,3.609258802667129
440.0,1300.0,38.0,320.0,8.7,380.0,575.0,3.157188432673099
780.0,5000.0,38.0,300.0,9.7,380.0,1450.0,3.055216198265604
220.0,5000.0,33.0,380.0,10.2,380.0,1125.0,3.4943499379342486
390.0,5200.0,143.0,380.0,6.2,380.0,1300.0,2.8779111047338217
770.0,5100.0,273.0,380.0,4.7,380.0,550.0,3.1734423361454134
660.0,600.0,13.0,280.0,9.7,380.0,1425.0,3.0721964185268082
540.0,3100.0,118.0,380.0,7.7,380.0,1075.0,3.6495211526483002
950.0,4800.0,253.0,300.0,8.2,380.0,1200.0,3.503500471572727
780.0,3700.0,248.0,340.0,8.7,380.0,1100.0,2.978619568608183
910.0,1000.0,203.0,280.0,10.2,380.0,475.0,3.0715946604368285
890.0,4400.0,243.0,380.0,4.7,380.0,1050.0,3.78931981947546
610.0,5300.0,118.0,360.0,8.2,380.0,1475.0,3.6680590694522874
1030.0,5400.0,228.0,380.0,4.7,380.0,1100.0,3.908445459746263
380.0,3400.0,128.0,360.0,8.7,380.0,1475.0,3.3662569572801586
950.0,5100.0,273.0,360.0,10.2,380.0,650.0,3.0812947930151213
1020.0,4500.0,338.0,340.0,10.2,380.0,900.0,3.5593417294796956
440.0,3400.0,18.0,360.0,9.7,380.0,1125.0,3.223769797608882
660.0,1100.0,163.0,280.0,7.7,380.0,800.0,3.3679123074012645
800.0,3300.0,168.0,380.0,5.7,380.0,1100.0,3.3314951688734906
540.0,1100.0,158.0,380.0,4.7,380.0,1125.0,3.8041877808099405
940.0,5200.0,183.0,380.0,4.7,380.0,575.0,3.6106715583040354
1000.0,4600.0,258.0,300.0,7.7,380.0,900.0,3.420077004213296
600.0,4800.0,158.0,380.0,4.7,380.0,1475.0,3.2734954763923465
780.0,5100.0,33.0,380.0,10.2,380.0,550.0,2.901178246461535
850.0,3900.0,93.0,360.0,8.2,380.0,600.0,2.9050650774042444
820.0,700.0,13.0,380.0,5.7,380.0,1250.0,4.080131009509236
980.0,4800.0,163.0,340.0,8.2,380.0,1025.0,3.5673488429826388
870.0,5100.0,203.0,380.0,4.7,380.0,700.0,3.535883507972518
1040.0,4800.0,188.0,380.0,5.2,380.0,1025.0,3.356696363118083
940.0,4400.0,323.0,380.0,5.7,380.0,925.0,3.3882657901072823
900.0,5000.0,438.0,380.0,5.7,380.0,575.0,3.8047251749284676
650.0,4800.0,133.0,360.0,8.7,380.0,1375.0,3.412844431270551
820.0,5100.0,23.0,320.0,10.2,380.0,650.0,3.0989492233196776
900.0,1100.0,278.0,320.0,10.2,380.0,650.0,3.2139622410954125
740.0,1200.0,128.0,320.0,9.2,380.0,875.0,3.4109140708297923
900.0,3700.0,98.0,380.0,5.2,380.0,1375.0,3.2431358227790303
830.0,5200.0,123.0,380.0,5.2,380.0,775.0,3.5325574615457924
920.0,5200.0,13.0,380.0,9.7,380.0,500.0,3.236402266664822
1030.0,4500.0,48.0,360.0,8.7,380.0,1475.0,3.4517469578039837
760.0,600.0,83.0,380.0,5.7,380.0,1350.0,3.482488960038005
1020.0,4600.0,263.0,380.0,6.7,380.0,800.0,2.9202179161642396
550.0,900.0,43.0,300.0,9.7,380.0,1050.0,3.214012766425217
470.0,2000.0,68.0,340.0,8.2,380.0,1475.0,3.010263461274933
420.0,3300.0,43.0,380.0,4.7,380.0,1050.0,3.9586064637865954
620.0,5300.0,83.0,380.0,7.7,380.0,1450.0,3.096160118409448
840.0,4300.0,88.0,320.0,8.7,380.0,875.0,3.6057819736112746
880.0,800.0,88.0,300.0,10.2,380.0,750.0,3.2017457985087696
410.0,2100.0,148.0,360.0,8.2,380.0,1350.0,3.5134567061729927
1030.0,4400.0,128.0,340.0,7.7,380.0,1300.0,3.3148524002143405
1000.0,3200.0,363.0,320.0,10.2,380.0,700.0,3.3150471112518005
960.0,4400.0,88.0,380.0,5.7,380.0,1125.0,3.2593683604066377
920.0,700.0,158.0,320.0,8.2,380.0,975.0,3.421727173927006
540.0,2400.0,38.0,360.0,9.7,380.0,1275.0,2.7939625712558693
420.0,1700.0,128.0,380.0,7.7,380.0,525.0,3.549130707589141
990.0,4500.0,383.0,300.0,8.7,380.0,1175.0,3.0745651805331065
620.0,4300.0,273.0,380.0,5.2,380.0,550.0,3.23496996847636
410.0,1100.0,163.0,380.0,4.7,380.0,1375.0,3.4206426507814194
500.0,4500.0,238.0,380.0,6.2,380.0,800.0,3.5334865011287375
350.0,3700.0,203.0,380.0,6.7,380.0,750.0,3.448780790935312
910.0,5400.0,58.0,360.0,7.7,380.0,950.0,2.9215125720031643
990.0,5300.0,253.0,320.0,5.7,380.0,900.0,3.200946181837482
900.0,4000.0,68.0,320.0,8.7,380.0,1025.0,3.4531525978876627
520.0,5400.0,88.0,380.0,7.7,380.0,875.0,3.5339348540573563
410.0,2700.0,43.0,380.0,7.2,380.0,1450.0,3.691130718101755
790.0,2800.0,48.0,380.0,8.2,380.0,775.0,3.7506618310769513
790.0,3300.0,133.0,360.0,9.7,380.0,1200.0,3.6180771275609365
1010.0,5100.0,418.0,300.0,8.7,380.0,925.0,3.2015571039541495
1010.0,4800.0,268.0,380.0,4.7,380.0,700.0,3.145927449364562
920.0,3500.0,83.0,360.0,9.7,380.0,1175.0,3.658292660990546
960.0,800.0,128.0,300.0,9.2,380.0,525.0,3.7853122958388288
850.0,3800.0,168.0,320.0,8.2,380.0,1050.0,3.517722158084391
670.0,2500.0,243.0,340.0,7.7,380.0,1125.0,3.4886708443056023
420.0,1200.0,38.0,320.0,9.7,380.0,1300.0,3.3329188168163784
450.0,1600.0,63.0,380.0,6.7,380.0,725.0,3.6220548598836775
840.0,4000.0,128.0,320.0,10.2,380.0,1175.0,2.859728978803513
670.0,1000.0,193.0,320.0,9.2,380.0,1275.0,3.782337983519269
700.0,3600.0,28.0,320.0,8.2,380.0,675.0,3.51374659698755
870.0,1100.0,188.0,300.0,10.2,380.0,1325.0,3.0778237593390196
1010.0,4700.0,113.0,320.0,10.2,380.0,900.0,3.7382392810986476
290.0,1400.0,48.0,380.0,5.7,380.0,850.0,3.32294920924716
750.0,1200.0,158.0,300.0,9.7,380.0,1000.0,3.45762576289488
500.0,2500.0,78.0,340.0,9.2,380.0,1425.0,3.669583261431036
910.0,3000.0,248.0,360.0,9.7,380.0,725.0,3.6853186671563525
450.0,5100.0,133.0,380.0,6.2,380.0,1450.0,3.3240665290270957
430.0,1300.0,138.0,320.0,8.2,380.0,750.0,2.9864205005370748
660.0,1300.0,158.0,300.0,9.7,380.0,975.0,2.742763372867573
800.0,600.0,123.0,380.0,4.7,380.0,1200.0,3.6746987070605868
1040.0,5100.0,353.0,380.0,4.7,380.0,675.0,3.777264517295294
440.0,900.0,153.0,320.0,9.7,380.0,1425.0,3.157747498830851
920.0,3700.0,48.0,320.0,9.7,380.0,1125.0,2.7821057642085534
370.0,5100.0,23.0,380.0,7.7,380.0,500.0,3.1712595204458665
340.0,5100.0,43.0,380.0,7.7,380.0,1250.0,2.898084058570466
910.0,4200.0,448.0,380.0,4.7,380.0,500.0,3.5286961888716974
560.0,5400.0,133.0,380.0,6.7,380.0,800.0,3.3162354541257155
700.0,3800.0,103.0,340.0,8.7,380.0,1225.0,3.385852653665612
400.0,1000.0,118.0,380.0,4.7,380.0,1225.0,3.7030054217557766
720.0,2900.0,213.0,380.0,7.7,380.0,1475.0,3.468870184982435
910.0,4400.0,93.0,300.0,7.7,380.0,1025.0,2.7773683012726442
800.0,3100.0,283.0,380.0,7.7,380.0,750.0,3.706744259636931
870.0,3400.0,373.0,380.0,5.2,380.0,475.0,3.3629139712229796
750.0,1000.0,83.0,320.0,8.2,380.0,550.0,3.033043565781947
450.0,1900.0,28.0,380.0,6.7,380.0,1175.0,3.877066332301786
450.0,1500.0,233.0,320.0,10.2,380.0,1225.0,2.7904749712805543
480.0,1500.0,53.0,380.0,7.7,380.0,1225.0,3.0705779304377674
540.0,1900.0,128.0,340.0,8.2,380.0,850.0,3.1189006303526776
880.0,3400.0,223.0,380.0,4.7,380.0,975.0,3.613992787578324
460.0,5000.0,43.0,320.0,7.7,380.0,1300.0,3.181081381077423
510.0,1300.0,38.0,380.0,6.7,380.0,925.0,3.8235764056378136
990.0,5000.0,343.0,320.0,9.7,380.0,1175.0,2.806715551963916
900.0,4800.0,318.0,380.0,5.7,380.0,1175.0,3.123428289068717
740.0,5000.0,248.0,340.0,8.7,380.0,1150.0,3.0647109014074285
810.0,4600.0,58.0,380.0,8.2,380.0,575.0,3.3873162496174585
370.0,3600.0,193.0,380.0,7.7,380.0,500.0,2.824403864442974
680.0,4800.0,158.0,340.0,7.7,380.0,1475.0,3.5298819354261717
540.0,2300.0,108.0,320.0,10.2,380.0,1450.0,2.782504013699757
390.0,3900.0,38.0,380.0,9.2,380.0,1400.0,3.702565215301696
760.0,1100.0,128.0,300.0,9.7,380.0,800.0,3.0823931338194868
900.0,1100.0,248.0,280.0,10.2,380.0,900.0,2.927284185494671
840.0,1200.0,188.0,320.0,10.2,380.0,950.0,3.2614205667149703
600.0,4400.0,98.0,380.0,6.2,380.0,725.0,3.211845842215812
1000.0,1000.0,23.0,320.0,10.2,380.0,550.0,3.25744787766227
820.0,3400.0,28.0,380.0,9.7,380.0,1175.0,3.1347573057086553
750.0,5100.0,418.0,380.0,5.7,380.0,775.0,3.063056578764948
630.0,1800.0,98.0,380.0,7.7,380.0,700.0,3.2777591845565333
870.0,5000.0,48.0,380.0,6.7,380.0,1050.0,2.9893743760887492
590.0,1100.0,48.0,340.0,9.2,380.0,975.0,3.5965062620525314
630.0,4200.0,53.0,380.0,7.7,380.0,975.0,3.6998975126434743
280.0,5400.0,173.0,380.0,7.7,380.0,1325.0,2.8131381193288596
850.0,3200.0,128.0,360.0,7.7,380.0,1250.0,3.426487428361959
1030.0,4900.0,438.0,380.0,6.7,380.0,850.0,3.0077153181572758
330.0,3900.0,53.0,380.0,7.7,380.0,525.0,2.9817858803247197
890.0,5200.0,273.0,380.0,4.7,380.0,800.0,3.392917722090703
460.0,1400.0,118.0,320.0,7.7,380.0,925.0,3.2729499099687027
820.0,3700.0,153.0,360.0,8.2,380.0,1450.0,2.8902685272629953
840.0,1400.0,178.0,300.0,8.7,380.0,600.0,2.7769854287436146
1000.0,1000.0,343.0,300.0,10.2,380.0,675.0,3.1501251401183925
810.0,3700.0,88.0,380.0,8.2,380.0,775.0,3.477755893031885
370.0,1600.0,68.0,380.0,7.7,380.0,750.0,3.4895394274879017
920.0,3900.0,403.0,320.0,8.2,380.0,1200.0,3.553110921675865
910.0,5000.0,443.0,380.0,7.7,380.0,1025.0,3.66610466498092
1010.0,1100.0,343.0,320.0,5.2,380.0,1250.0,3.3998848387835627
500.0,4000.0,103.0,360.0,9.2,380.0,1475.0,3.2998705245206446
590.0,4800.0,378.0,380.0,4.7,380.0,800.0,3.191443898468834
890.0,4100.0,83.0,380.0,5.2,380.0,800.0,3.0542499389604267
820.0,4400.0,98.0,380.0,5.2,380.0,975.0,3.8054136253499875
470.0,900.0,33.0,320.0,9.2,380.0,900.0,3.3253749072844547
1000.0,5000.0,273.0,380.0,7.7,380.0,925.0,2.872911881575165
1010.0,4500.0,253.0,300.0,9.2,380.0,875.0,3.545417633089758
760.0,5000.0,63.0,360.0,8.7,380.0,975.0,3.196848359213286
760.0,3700.0,58.0,380.0,5.2,380.0,1075.0,3.835094714400815
620.0,1200.0,28.0,320.0,10.2,380.0,1125.0,3.8188816960565943
720.0,5200.0,53.0,380.0,6.7,380.0,1225.0,2.993379272375376
860.0,1000.0,88.0,320.0,6.7,380.0,1325.0,3.2245929560065516
510.0,3100.0,83.0,360.0,8.7,380.0,1375.0,3.373097632856167
650.0,1000.0,238.0,320.0,10.2,380.0,675.0,3.5613402523908437
520.0,3300.0,63.0,360.0,9.2,380.0,1375.0,3.6367180863589192
1000.0,5000.0,113.0,340.0,9.7,380.0,1025.0,2.946610808836388
820.0,4900.0,88.0,340.0,7.7,380.0,1450.0,3.3391480411852434
840.0,4300.0,193.0,360.0,8.7,380.0,1050.0,3.5552487887561597
420.0,3400.0,93.0,340.0,8.2,380.0,1450.0,3.0497986100625205
770.0,4600.0,53.0,340.0,8.2,380.0,1450.0,3.0791692016864944
560.0,1600.0,183.0,300.0,10.2,380.0,1225.0,3.6232685935949154
1030.0,4500.0,133.0,380.0,6.7,380.0,575.0,3.5006749080751045
780.0,4400.0,403.0,380.0,5.2,380.0,1025.0,3.367134283981173
950.0,4400.0,368.0,380.0,6.2,380.0,700.0,3.3568480843118786
650.0,2000.0,118.0,360.0,9.7,380.0,900.0,2.898144247231779
660.0,1900.0,118.0,340.0,9.7,380.0,700.0,3.3669471686690087
500.0,4300.0,53.0,360.0,7.7,380.0,1450.0,3.706292855411498
690.0,5100.0,78.0,340.0,7.7,380.0,1425.0,3.330611068536908
490.0,4300.0,23.0,340.0,9.7,380.0,1300.0,3.4389430673202783
500.0,4200.0,38.0,380.0,10.2,380.0,1175.0,3.1982514855280995
810.0,3800.0,98.0,300.0,8.2,380.0,975.0,3.6702571798289165
280.0,1600.0,228.0,320.0,6.7,380.0,575.0,3.3995271920736254
380.0,1300.0,103.0,380.0,6.2,380.0,500.0,3.7159989378302827
270.0,1400.0,33.0,320.0,6.7,380.0,1325.0,3.3181265710491523
1030.0,5300.0,203.0,380.0,4.7,380.0,675.0,3.877389992803859
740.0,4800.0,333.0,380.0,4.7,380.0,1075.0,2.9381480808937255
410.0,5100.0,48.0,380.0,9.7,380.0,1050.0,2.8148493509221537
670.0,4700.0,58.0,360.0,9.2,380.0,1325.0,2.755729262626062
840.0,5000.0,138.0,360.0,9.2,380.0,1225.0,3.2977976099216697
660.0,3900.0,388.0,380.0,5.7,380.0,575.0,3.065511095719412
890.0,3100.0,238.0,360.0,8.7,380.0,700.0,3.3284898149899727
710.0,1100.0,108.0,320.0,9.2,380.0,950.0,3.5253489334162973
450.0,4500.0,28.0,380.0,7.7,380.0,825.0,3.1842579181606596
450.0,1400.0,238.0,320.0,9.7,380.0,1250.0,2.9808540751176587
670.0,4300.0,88.0,360.0,9.7,380.0,1175.0,2.714351690811241
410.0,4100.0,18.0,380.0,5.7,380.0,750.0,3.8030610179598967
990.0,4800.0,18.0,380.0,5.7,380.0,1400.0,3.8057872761267757
610.0,4000.0,78.0,380.0,4.7,380.0,1325.0,3.642695910586735
430.0,1400.0,83.0,320.0,8.7,380.0,725.0,2.755939620956643
450.0,2200.0,13.0,360.0,10.2,380.0,1450.0,3.026098704578811
910.0,1100.0,243.0,380.0,4.7,380.0,1325.0,3.56404240046236
660.0,1400.0,138.0,340.0,8.2,380.0,550.0,3.504086320099025
740.0,3300.0,88.0,360.0,8.2,380.0,1325.0,3.24662573353499
430.0,1000.0,48.0,340.0,9.7,380.0,1150.0,3.6889726355461447
920.0,1600.0,208.0,320.0,10.2,380.0,525.0,3.4691095448343967
490.0,4500.0,23.0,380.0,8.7,380.0,850.0,3.0471731369630533
990.0,5400.0,248.0,380.0,6.7,380.0,500.0,3.1705779800665304
700.0,4200.0,278.0,380.0,4.7,380.0,1050.0,3.018576697504275
660.0,5100.0,33.0,380.0,8.7,380.0,1450.0,2.9170482385645475
590.0,3600.0,123.0,380.0,6.7,380.0,1300.0,3.0529027910423427
590.0,1400.0,93.0,320.0,9.7,380.0,875.0,2.694994219478514
850.0,4600.0,98.0,380.0,6.7,380.0,975.0,3.212835615399036
1000.0,4700.0,393.0,300.0,7.7,380.0,1175.0,3.66457366621436
660.0,4800.0,168.0,380.0,7.7,380.0,1250.0,3.1283918605093213
430.0,1200.0,78.0,380.0,9.7,380.0,725.0,2.8551226430596945
810.0,4500.0,103.0,380.0,6.7,380.0,1050.0,3.0900895012937264
960.0,4500.0,108.0,320.0,7.7,380.0,1025.0,3.167935511846526
930.0,4400.0,53.0,360.0,7.7,380.0,1200.0,3.570655567554408
410.0,4900.0,43.0,380.0,5.2,380.0,575.0,3.1879345192625665
450.0,1000.0,53.0,260.0,9.2,380.0,1275.0,3.597534291136931
670.0,5200.0,28.0,340.0,8.7,380.0,600.0,2.9089288647077156
470.0,2800.0,48.0,380.0,9.2,380.0,700.0,3.712884668845743
290.0,2000.0,183.0,380.0,7.7,380.0,575.0,3.667869955984115
470.0,800.0,98.0,280.0,8.7,380.0,800.0,3.6449512874933734
910.0,2900.0,53.0,340.0,8.2,380.0,1400.0,2.924567170057432
920.0,3600.0,373.0,340.0,8.2,380.0,1200.0,3.4263444135025845
610.0,2200.0,183.0,360.0,8.7,380.0,850.0,2.8980831051359024
930.0,4300.0,108.0,380.0,5.2,380.0,975.0,3.821142520913411
950.0,4800.0,398.0,380.0,7.7,380.0,575.0,2.854955067374239
800.0,3800.0,308.0,380.0,5.7,380.0,650.0,2.920923907218035
610.0,900.0,253.0,320.0,9.7,380.0,700.0,2.738465853591366
420.0,1400.0,53.0,380.0,5.7,380.0,625.0,3.273932153599443
430.0,2800.0,58.0,380.0,7.7,380.0,1250.0,2.9356730410502876
810.0,3600.0,173.0,380.0,6.7,380.0,1200.0,3.372709521733658
950.0,5200.0,443.0,380.0,5.7,380.0,575.0,3.554702660860797
710.0,5000.0,48.0,300.0,9.2,380.0,1475.0,2.829277074620904
1040.0,3900.0,108.0,380.0,5.2,380.0,675.0,3.9231852558182037
620.0,3700.0,158.0,380.0,7.7,380.0,650.0,2.8509412352577534
1010.0,4800.0,323.0,380.0,6.7,380.0,500.0,3.6147925219752097
490.0,2400.0,63.0,340.0,9.2,380.0,975.0,2.916822327553995
1040.0,4600.0,263.0,360.0,9.2,380.0,750.0,3.192093613226352
520.0,5000.0,78.0,340.0,8.2,380.0,1400.0,3.180157262579964
900.0,5000.0,58.0,300.0,10.2,380.0,1175.0,2.951783074170771
800.0,3400.0,23.0,380.0,4.7,380.0,475.0,3.0788448244237183
880.0,3900.0,43.0,320.0,7.7,380.0,1350.0,3.8027901526546293
660.0,5300.0,143.0,340.0,7.7,380.0,1425.0,3.6795216434671496
950.0,5200.0,88.0,360.0,9.2,380.0,1025.0,3.7102150730448455
1020.0,3800.0,353.0,380.0,4.7,380.0,1075.0,3.55381802588654
630.0,5000.0,188.0,380.0,7.7,380.0,1375.0,3.0430575299341105
670.0,1600.0,83.0,300.0,8.2,380.0,925.0,2.858773968250571
810.0,5200.0,108.0,360.0,8.7,380.0,1075.0,3.554799689526826
660.0,600.0,83.0,280.0,9.7,380.0,950.0,2.791947215690185
430.0,1500.0,63.0,320.0,9.7,380.0,1075.0,2.956882271672866
630.0,4300.0,13.0,340.0,10.2,380.0,875.0,3.4406271284241474
980.0,4100.0,83.0,380.0,4.7,380.0,925.0,3.6856425106325372
980.0,4500.0,258.0,340.0,8.2,380.0,600.0,3.5081587710062347
220.0,3800.0,58.0,380.0,8.2,380.0,1125.0,3.107159107299548
920.0,5300.0,98.0,380.0,6.2,380.0,525.0,3.3832886297561044
650.0,1200.0,43.0,340.0,9.7,380.0,1300.0,3.3906131938115305
460.0,3600.0,48.0,380.0,9.7,380.0,1125.0,3.3135419466190865
980.0,5300.0,128.0,320.0,5.2,380.0,900.0,3.3988238129889554
530.0,1600.0,38.0,380.0,8.7,380.0,525.0,3.084771118355531
900.0,4600.0,58.0,380.0,6.7,380.0,600.0,2.925880037582502
990.0,1200.0,238.0,380.0,5.2,380.0,1150.0,4.041407575138082
580.0,1400.0,138.0,380.0,8.7,380.0,825.0,3.1497843342924825
470.0,1500.0,148.0,320.0,10.2,380.0,900.0,2.7927520841258033
820.0,3400.0,38.0,380.0,8.2,380.0,1475.0,3.6195002408938177
640.0,2900.0,38.0,380.0,9.7,380.0,775.0,3.610356816168974
920.0,2600.0,48.0,360.0,8.2,380.0,975.0,3.1245462143400595
810.0,4700.0,28.0,360.0,8.2,380.0,1225.0,3.588432708513383
